Old number,Current number,Plot,Subplot,a=2006; n=2011; nv=2016,Exclude,Added,Alive2006,Alive2011,Alive2016,Family,Species (names not updated),C=Cerrado; G=generalist; ,Shade Tolerance,H 2016 m,DAP1/16,DAP2/16,DAP3/16,DAP4/16,DAP5/16,DAP6/16,DAP7/16,G2016 (m2),dg2016 (cm),H 2011 (m),DAP 1/11,DAP2/11,DAP3/11,DAP4/11,DAP5/11,DAP6/11,DAP7/11,G2011 (m2),dg 2011 (cm),H 2006,DAP1/06,DAP2/06,DAP3/06,DAP4/06,DAP5/06,DAP6/06,DAP7/06,G2006 (m2),dg2006 (cm),dg 2006 cm,dg 2011 cm,dg 2016 cm,dbh annual increment(cm)_10 years
1768,6783,10,6,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,8,8,5.8,,,,,,0.0077,9.9,8,6.6,7.6,,,,,,0.008,10.1,7,11.2,5.1,,,,,,0.0118,12.3,12.28,10.07,9.88,-0.24
3944,3944,29,10,a,,2006,v,v,v,MORACEAE,Ficus guaranitica Chodat,F,T,10,9,8.9,,,,,,0.0126,12.7,10,8,7,,,,,,0.0089,10.6,12,15,,,,,,,0.0176,15,14.99,10.63,12.66,-0.23
701,701,1,8,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,6,5.3,,,,,,,0.0022,5.3,6,8.8,,,,,,,0.0061,8.8,6,7.6,,,,,,,0.0046,7.6,7.62,8.8,5.3,-0.23
3409,3409,30,4,a,,2006,v,v,v,MYRTACEAE,Myrcia venulosa DC.,G,T,8,8.1,,,,,,,0.0052,8.1,7,8.1,,,,,,,0.0052,8.1,7,8.1,6.4,,,,,,0.0084,10.3,10.31,8.1,8.1,-0.22
1755,1755,10,5,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,7,6.7,,,,,,,0.0035,6.7,9,5.2,10,,,,,,0.01,11.3,9,8.9,,,,,,,0.0062,8.9,8.89,11.27,6.7,-0.22
762,5637,2,4,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,8,20.2,,,,,,,0.032,20.2,13,19,,,,,,,0.0284,19,10.5,17.3,14.2,,,,,,0.0393,22.4,22.38,19,20.2,-0.22
2247,2247,14,4,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,5,5.7,,,,,,,0.0026,5.7,6.5,11.2,,,,,,,0.0099,11.2,5,7.9,,,,,,,0.0049,7.9,7.87,11.2,5.7,-0.22
1421,1421,6,5,a,,2006,v,v,v,MYRTACEAE,Myrcia venulosa DC.,G,T,7,7.7,,,,,,,0.0047,7.7,6.5,6.9,,,,,,,0.0037,6.9,6,6.9,7,,,,,,0.0075,9.8,9.79,6.9,7.7,-0.21
2937,2937,27,3,a,,2006,v,v,v,BURSERACEAE,Protium heptaphyllum (Aubl.) Marchand,G,T,9,10.7,,,,,,,0.009,10.7,12,11.7,7.9,,,,,,0.0157,14.1,11,10.4,7.4,,,,,,0.0128,12.8,12.76,14.12,10.7,-0.21
3923,3923,29,9,a,,2006,v,v,v,FABACEAE,Anadenanthera falcata (Benth.) Speg.,C,I,16,12.5,,,,,,,0.0123,12.5,16,11.9,,,,,,,0.0111,11.9,13,14.5,,,,,,,0.0165,14.5,14.48,11.9,12.5,-0.2
1385,1385,6,4,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,9,8.7,,,,,,,0.0059,8.7,9,11.2,6.5,,,,,,0.0132,12.9,9,10.7,,,,,,,0.0089,10.7,10.67,12.95,8.7,-0.2
743,743,2,1,a,,2006,v,v,v,BIGNONIACEAE,Tabebuia ochracea (Cham.) Standl,G,I,3,4.5,,,,,,,0.0016,4.5,3,5,,,,,,,0.002,5,3,6.4,,,,,,,0.0032,6.4,6.35,5,4.5,-0.19
1965,1965,13,6,a,,2006,v,v,v,BIGNONIACEAE,Tabebuia ochracea (Cham.) Standl,G,I,3,5.8,,,,,,,0.0026,5.8,3.5,6.9,,,,,,,0.0037,6.9,3.5,7.6,,,,,,,0.0046,7.6,7.62,6.9,5.8,-0.18
3263,3263,29,2,a,,2006,v,v,v,FABACEAE,Anadenanthera falcata (Benth.) Speg.,C,I,5,13.2,,,,,,,0.0137,13.2,8,14,,,,,,,0.0154,14,8,15,,,,,,,0.0176,15,14.99,14,13.2,-0.18
1852,1852,11,4,a,,2006,v,v,v,MYRTACEAE,Myrcia guianensis (Aubl.) DC.,G,T,3,5,5.1,,,,,,0.004,7.1,3,5.5,5.1,,,,,,0.0044,7.5,3,5.3,5.1,5,,,,,0.0062,8.9,8.92,7.5,7.14,-0.18
1606,1606,9,4,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,8,6.4,,,,,,,0.0032,6.4,7,7.7,,,,,,,0.0047,7.7,5.5,8.1,,,,,,,0.0052,8.1,8.13,7.7,6.4,-0.17
1826,1826,10,10,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,7,6.4,,,,,,,0.0032,6.4,6,5.2,,,,,,,0.0021,5.2,5,8.1,,,,,,,0.0052,8.1,8.13,5.2,6.4,-0.17
3083,3083,28,2,a,,2006,v,v,v,RUBIACEAE,Faramea montevidensis (Cham. & Schltdl) DC. ,G,T,6,6.2,,,,,,,0.003,6.2,6,6.2,,,,,,,0.003,6.2,5,5.8,5.3,,,,,,0.0049,7.9,7.91,6.2,6.2,-0.17
2760,2760,26,2,a,,2006,v,v,v,ARECACEAE,Syagrus romanzoffiana (Cham.) Glassman,G,T,5,7.7,,,,,,,0.0047,7.7,5,8.2,,,,,,,0.0053,8.2,5,9.4,,,,,,,0.0069,9.4,9.4,8.2,7.7,-0.17
3984,1552,30,2,a,,2006,v,v,v,FABACEAE,Copaifera langsdorffii Desf.,G,T,15,19.4,,,,,,,0.0296,19.4,13.5,16.7,,,,,,,0.0219,16.7,13,21.1,,,,,,,0.0349,21.1,21.08,16.7,19.4,-0.17
794,794,2,7,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,6,7,,,,,,,0.0038,7,9,6.9,,,,,,,0.0037,6.9,5,8.6,,,,,,,0.0059,8.6,8.64,6.9,7,-0.16
2677,2677,18,6,a,,2006,v,v,v,MYRTACEAE,Myrcia guianensis (Aubl.) DC.,G,T,3,6,,,,,,,0.0028,6,3.5,5.7,,,,,,,0.0026,5.7,3.5,7.6,,,,,,,0.0046,7.6,7.62,5.7,6,-0.16
1280,1280,7,4,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,7,8.3,,,,,,,0.0054,8.3,7,5.8,,,,,,,0.0026,5.8,8,9.9,,,,,,,0.0077,9.9,9.91,5.8,8.3,-0.16
,6462,8,9,a,,2006,v,v,v,ASTERACEAE,Tabebuia ochracea (Cham.) Standl,C,I,2.5,5,,,,,,,0.002,5,4.5,7,,,,,,,0.0038,7,3.5,6.6,,,,,,,0.0034,6.6,6.6,7,5,-0.16
4573,4573,34,5,a,,2006,v,v,v,ARECACEAE,Syagrus romanzoffiana (Cham.) Glassman,G,T,13,11.1,,,,,,,0.0097,11.1,9,13,,,,,,,0.0133,13,8,12.7,,,,,,,0.0127,12.7,12.7,13,11.1,-0.16
788,788,2,7,a,,2006,v,v,v,BIGNONIACEAE,Tabebuia ochracea (Cham.) Standl,G,I,3,4,,,,,,,0.0013,4,2.5,5.5,,,,,,,0.0024,5.5,2.5,5.6,,,,,,,0.0025,5.6,5.59,5.5,4,-0.16
1428,1428,6,6,a,,2006,v,v,v,FABACEAE,Machaerium acutifolium Vogel,C,I,7,15.7,,,,,,,0.0194,15.7,8,16.8,,,,,,,0.0222,16.8,6,17.3,,,,,,,0.0234,17.3,17.27,16.8,15.7,-0.16
2221,2221,12,9,a,,2006,v,v,v,VOCHYSIACEAE,Qualea cordata (Mart.) Spreng.,C,I,4,5.8,,,,,,,0.0026,5.8,4.5,5.5,6.5,,,,,,0.0057,8.5,4,5.3,5.1,,,,,,0.0043,7.4,7.37,8.51,5.8,-0.16
2495,1540,15,6,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,8,9.9,,,,,,,0.0077,9.9,6,8,11.4,,,,,,0.0152,13.9,5,11.4,,,,,,,0.0103,11.4,11.43,13.93,9.9,-0.15
2198,2198,12,7,a,,2006,v,v,v,ASTERACEAE,Gochnatia polymorpha (Less.) Cabrera,G,I,4,6,14.6,,,,,,0.0196,15.8,5,15.6,,,,,,,0.0191,15.6,4,17.3,,,,,,,0.0234,17.3,17.27,15.6,15.78,-0.15
4162,4162,32,1,a,,2006,v,v,v,ANACARDIACEAE,Tapirira guianensis Aubl.,G,T,10,12.3,12.1,,,,,,0.0234,17.3,10,12,12,,,,,,0.0226,17,10,11.9,11.9,8.1,,,,,0.0276,18.7,18.74,16.97,17.25,-0.15
2701,2701,18,8,a,,2006,v,v,v,FABACEAE,Plathymenia reticulata Benth.,C,I,8,16.6,,,,,,,0.0216,16.6,10,18,,,,,,,0.0254,18,10,18,,,,,,,0.0255,18,18.03,18,16.6,-0.14
1180,9404,5,5,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,7,7.2,6.2,,,,,,0.0071,9.5,3,10.4,,,,,,,0.0085,10.4,7,10.9,,,,,,,0.0094,10.9,10.92,10.4,9.5,-0.14
3687,3687,35,2,a,,2006,v,v,v,FABACEAE,Platypodium elegans Vogel,G,I,6,9,,,,,,,0.0064,9,5,10.1,,,,,,,0.008,10.1,4,10.4,,,,,,,0.0085,10.4,10.41,10.1,9,-0.14
1834,1834,11,1,a,,2006,v,v,v,BIGNONIACEAE,Tabebuia ochracea (Cham.) Standl,G,I,4,5.7,,,,,,,0.0026,5.7,3.5,7.1,,,,,,,0.004,7.1,3,7.1,,,,,,,0.004,7.1,7.11,7.1,5.7,-0.14
3280,3280,29,2,a,,2006,v,v,v,FABACEAE,Plathymenia reticulata Benth.,C,I,7,6,,,,,,,0.0028,6,6,6.8,,,,,,,0.0036,6.8,5,7.4,,,,,,,0.0043,7.4,7.37,6.8,6,-0.14
4389,4389,33,6,a,,2006,v,v,v,RUBIACEAE,Faramea montevidensis (Cham. & Schltdl) DC. ,G,T,8,5,,,,,,,0.002,5,8,6.4,,,,,,,0.0032,6.4,6,6.4,,,,,,,0.0032,6.4,6.35,6.4,5,-0.14
3355,3355,29,5,a,,2006,v,v,v,MYRTACEAE,Myrcia venulosa DC.,C,I,6,9.1,,,,,,,0.0065,9.1,3,9.8,,,,,,,0.0075,9.8,3,10.4,,,,,,,0.0085,10.4,10.41,9.8,9.1,-0.13
