"","Old.number","Current.number","Plot","Subplot","a.2006..n.2011..nv.2016","Exclude","Added","Alive2006","Alive2011","Alive2016","Family","Species..names.not.updated.","C.Cerrado..G.generalist.","Shade.Tolerance","H.2016.m","DAP1.16","DAP2.16","DAP3.16","DAP4.16","DAP5.16","DAP6.16","DAP7.16","G2016..m2.","dg2016..cm.","H.2011..m.","DAP.1.11","DAP2.11","DAP3.11","DAP4.11","DAP5.11","DAP6.11","DAP7.11","G2011..m2.","dg.2011..cm.","H.2006","DAP1.06","DAP2.06","DAP3.06","DAP4.06","DAP5.06","DAP6.06","DAP7.06","G2006..m2.","dg2006..cm.","dg.2006.cm","dg.2011.cm","dg.2016.cm","dbh.annual.increment.cm._10.years","Code","BA.above2006","BA.above2011","Died2011","Died2016","TBA.2006.m2ha.1","TBA.2011.m2.ha.1","Total.sand..","Clay..","Silt..","Coarse.sand..","Fine.sand..","Base.saturation.V..0.20cm","clay.silt..","Fine.sand.clay.silt","Areia.Grossa","Base.saturation.V..60.80cm","Canopy.cover..","Canopy.oppeness..","Transprecipitation.2006..","soil.humidity.0.20cm..","Diameter.increment.cm.yr","PC1","PC2"
"667","4362","4362","33","4","a",NA,"2006","v","v","v","RUBIACEAE","Faramea montevidensis (Cham. & Schltdl) DC. ","G","T","10","8.5","5.8",NA,NA,NA,NA,NA,"0.0083","10.3",9,"8.8","5.7",NA,NA,NA,NA,NA,0.0086,"10.5",9,"8.1","5.3",NA,NA,NA,NA,NA,0.0074,"9.7",9.72,10.48,10.29,0.0569999999999998,"FAMO",1.9353,2.3949,"n","n",23.09,27.0408268,72.69,14.78,1.73,43.8,39.69,6.8,16.5,56.2,43.8,9.5,78.166,21.83,83.1,0.74,0.14,1.32679191751686,-0.424757317640242
"668","3898","3898","31","4","a",NA,"2006","v","v","v","ARECACEAE","Syagrus romanzoffiana (Cham.) Glassman","G","T","14","12",NA,NA,NA,NA,NA,NA,"0.0113","12",12,"11.9",NA,NA,NA,NA,NA,NA,0.0111,"11.9",11,"11.4",NA,NA,NA,NA,NA,NA,0.0103,"11.4",11.43,11.9,12,0.057,"SYRO",1.3699,1.409,"n","n",23.92,25.66671773,63.12,16.49,2.1,49.3,32.12,6.9,18.6,50.7,49.3,9.5,88.474,11.53,82.4,0.34,0.16,0.707555491525923,-0.0221305812132513
"669","2042","2042","19","8","a",NA,"2006","v","v","v","FABACEAE","Acosmium subelegans (Mohlenbr.) Yakovlev","C","I","3","8.7",NA,NA,NA,NA,NA,NA,"0.0059","8.7",2.5,"8.5",NA,NA,NA,NA,NA,NA,0.0057,"8.5",2,"8.1",NA,NA,NA,NA,NA,NA,0.0052,"8.1",8.13,8.5,8.7,0.0569999999999998,"ACSU",0.5718,0.7911,"n","n",6.16,8.64183024,78.14,10.68,2.97,27.21,59.14,11.3,13.7,72.8,27.21,14.2,37.619,62.38,97.5,0.48,0.31,-0.79378678587804,1.61733009262185
"670","3198","3198","28","7","a",NA,"2006","v","v","v","LAURACEAE","Nectandra cuspidata Nees & Mart.","G","T","12","8.7",NA,NA,NA,NA,NA,NA,"0.0059","8.7",11,"8.5",NA,NA,NA,NA,NA,NA,0.0057,"8.5",10,"8.1",NA,NA,NA,NA,NA,NA,0.0052,"8.1",8.13,8.5,8.7,0.0569999999999998,"NECU",1.4444,1.6781,"n","n",22.09,25.21375505,83.79,14.82,6.07,23.33,55.79,6.8,20.9,76.7,23.33,11.5,92.639,7.36,83.95,0.79,0.16,2.63301229991919,1.68708054758838
"671","4412","4412","33","7","a",NA,"2006","v","v","v","RUBIACEAE","Faramea montevidensis (Cham. & Schltdl) DC. ","G","T","13","8.7",NA,NA,NA,NA,NA,NA,"0.0059","8.7",13,"8.5",NA,NA,NA,NA,NA,NA,0.0057,"8.5",10,"8.1",NA,NA,NA,NA,NA,NA,0.0052,"8.1",8.13,8.5,8.7,0.0569999999999998,"FAMO",1.6681,1.5582,"n","n",23.09,27.0408268,72.69,14.78,1.73,43.8,39.69,6.8,16.5,56.2,43.8,9.5,78.166,21.83,83.1,0.74,0.14,1.32679191751686,-0.424757317640242
"672","1674","1674","9","7","a",NA,"2006","v","v","v","ANNONACEAE","Annona crassiflora Mart.","C","I","3","6.8",NA,NA,NA,NA,NA,NA,"0.0036","6.8",3.5,"6.5",NA,NA,NA,NA,NA,NA,0.0033,"6.5",3,"6.2",NA,NA,NA,NA,NA,NA,0.003,"6.2",6.22,6.5,6.8,0.058,"ANCR",1.0343,1.381,"n","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"673","1063","1063","4","4","a",NA,"2006","v","v","v","FABACEAE","Copaifera langsdorffii Desf.","G","T","8","8.2",NA,NA,NA,NA,NA,NA,"0.0053","8.2",8,"8.2",NA,NA,NA,NA,NA,NA,0.0053,"8.2",7,"7.6",NA,NA,NA,NA,NA,NA,0.0046,"7.6",7.62,8.2,8.2,0.0579999999999999,"COLA",0.2401,0.4093,"n","n",8.18,11.67850155,41.77,9.64,1.28,51.31,37.77,10.6,10.9,48.7,51.31,15.2,46.6,53.4,95.77,0.41,0.31,-2.43836580956341,-0.647761188010373
"674","3068","3068","28","1","a",NA,"2006","v","v","v","RUBIACEAE","Faramea montevidensis (Cham. & Schltdl) DC. ","G","T","6.5","8.2",NA,NA,NA,NA,NA,NA,"0.0053","8.2",6,"8",NA,NA,NA,NA,NA,NA,0.005,"8",5,"7.6",NA,NA,NA,NA,NA,NA,0.0046,"7.6",7.62,8,8.2,0.0579999999999999,"FAMO",2.1968,2.4687,"n","n",22.09,25.21375505,83.79,14.82,6.07,23.33,55.79,6.8,20.9,76.7,23.33,11.5,92.639,7.36,83.95,0.79,0.16,2.63301229991919,1.68708054758838
"675","2321","2321","15","8","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","9","14.3",NA,NA,NA,NA,NA,NA,"0.0161","14.3",8.5,"14",NA,NA,NA,NA,NA,NA,0.0154,"14",8,"13.7",NA,NA,NA,NA,NA,NA,0.0148,"13.7",13.72,14,14.3,0.058,"OCCO",0.279,0.296,"n","n",9.72,13.20867709,55.76,11.22,1.96,46.06,40.76,8.8,13.2,53.9,46.06,13,67.092,32.91,94.47,0.35,0.29,-1.11490581422796,-0.108480816384553
"676","1751","1751","10","5","a",NA,"2006","v","v","v","FABACEAE","Anadenanthera falcata (Benth.) Speg.","C","I","9","11",NA,NA,NA,NA,NA,NA,"0.0095","11",8,"10.7",NA,NA,NA,NA,NA,NA,0.009,"10.7",7,"10.4",NA,NA,NA,NA,NA,NA,0.0085,"10.4",10.41,10.7,11,0.059,"ANFA",1.019,1.0865,"n","n",15.51,18.81182539,52.74,9.53,2.82,44.92,42.74,9.3,12.4,55.1,44.92,12.5,70.069,29.93,89.55,0.59,0.28,-0.761226558400938,-0.354406177627426
"677","4113","4113","31","9","a",NA,"2006","v","v","v","RUBIACEAE","Amaioua intermedia Mart.","G","T","9","11",NA,NA,NA,NA,NA,NA,"0.0095","11",9,"10.6",NA,NA,NA,NA,NA,NA,0.0088,"10.6",9,"10.4",NA,NA,NA,NA,NA,NA,0.0085,"10.4",10.41,10.6,11,0.059,"AMIN",1.9897,2.1813,"n","n",23.92,25.66671773,63.12,16.49,2.1,49.3,32.12,6.9,18.6,50.7,49.3,9.5,88.474,11.53,82.4,0.34,0.16,0.707555491525923,-0.0221305812132513
"678","4040","4040","31","6","a",NA,"2006","v","v","v","EUPHORBIACEAE","Pera obovata (Klotzsch) Baill.","G","T","14","13.5","9.5",NA,NA,NA,NA,NA,"0.0214","16.5",13,"13.6",NA,NA,NA,NA,NA,NA,0.0145,"13.6",12,"13.2","8.9",NA,NA,NA,NA,NA,0.0199,"15.9",15.92,13.6,16.51,0.0590000000000002,"PEOB",0.8959,0.8577,"n","n",23.92,25.66671773,63.12,16.49,2.1,49.3,32.12,6.9,18.6,50.7,49.3,9.5,88.474,11.53,82.4,0.34,0.16,0.707555491525923,-0.0221305812132513
"679","3500","3500","30","8","a",NA,"2006","v","v","v","FABACEAE","Copaifera langsdorffii Desf.","G","T","9","7.7",NA,NA,NA,NA,NA,NA,"0.0047","7.7",8,"7.4",NA,NA,NA,NA,NA,NA,0.0043,"7.4",7,"7.1",NA,NA,NA,NA,NA,NA,0.004,"7.1",7.11,7.4,7.7,0.059,"COLA",1.5358,1.6299,"n","n",19.21,19.70161994,73.25,18.73,3.15,34.87,43.25,10.7,21.9,65.1,34.87,7.1,78.393,21.61,86.4,0.51,0.19,1.50457928122344,1.22270499936158
"680","3775","3775","35","8","a",NA,"2006","v","v","v","LAURACEAE","Ocotea velutina (Nees) Rohwer","G","T","10","7.7",NA,NA,NA,NA,NA,NA,"0.0047","7.7",9,"7",NA,NA,NA,NA,NA,NA,0.0038,"7",8,"7.1",NA,NA,NA,NA,NA,NA,0.004,"7.1",7.11,7,7.7,0.059,"OCVE",1.551,1.8692,"n","n",20.28,22.82254751,65.25,12.8,1.24,55.71,30.25,5.1,14,44.3,55.71,5.7,90.471,9.528809008,85.49281484,0.74,0.28,1.64652854857022,-1.70572545390995
"681","2589","2589","17","5","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","9","10.5",NA,NA,NA,NA,NA,NA,"0.0087","10.5",9,"10.2",NA,NA,NA,NA,NA,NA,0.0082,"10.2",9,"9.9",NA,NA,NA,NA,NA,NA,0.0077,"9.9",9.91,10.2,10.5,0.059,"OCCO",0.1208,0.1278,"n","n",9.07,12.39750216,52.01,17.09,3.83,44.06,35.01,4.5,20.9,55.9,44.06,5,80.632,19.37,95.02,0.84,0.27,3.06667543939776,-1.45354240309335
"682","3468","3468","30","9","a",NA,"2006","v","v","v","FABACEAE","Copaifera langsdorffii Desf.","G","T","9","10.5",NA,NA,NA,NA,NA,NA,"0.0087","10.5",8,"10.2",NA,NA,NA,NA,NA,NA,0.0082,"10.2",6,"9.9",NA,NA,NA,NA,NA,NA,0.0077,"9.9",9.91,10.2,10.5,0.059,"COLA",1.6768,1.6299,"n","n",19.21,19.70161994,73.25,18.73,3.15,34.87,43.25,10.7,21.9,65.1,34.87,7.1,78.393,21.61,86.4,0.51,0.19,1.50457928122344,1.22270499936158
"683","3637","3637","32","10","a",NA,"2006","v","v","v","MYRSINACEAE","Rapanea umbellata (Mart.) Mez.","G","T","11","10.5",NA,NA,NA,NA,NA,NA,"0.0087","10.5",10,"10.3",NA,NA,NA,NA,NA,NA,0.0083,"10.3",8,"9.9",NA,NA,NA,NA,NA,NA,0.0077,"9.9",9.91,10.3,10.5,0.059,"RAUM",1.7474,1.7197,"n","n",20.03,22.91476111,71.8,16.11,1.73,42.37,39.8,8.8,17.8,57.6,42.37,9.9,84.556,15.44,85.7,0.24,0.19,0.152679642693612,0.762006164074839
"684","4597","4597","34","6","a",NA,"2006","v","v","v","FABACEAE","Copaifera langsdorffii Desf.","G","T","12","10.5",NA,NA,NA,NA,NA,NA,"0.0087","10.5",12,"10.2",NA,NA,NA,NA,NA,NA,0.0082,"10.2",12,"9.9",NA,NA,NA,NA,NA,NA,0.0077,"9.9",9.91,10.2,10.5,0.059,"COLA",1.5304,1.8478,"n","n",24.93,26.81370536,81.28,15.03,2,35.68,47.28,6.9,17,64.3,35.68,8.7,86.56,13.44,81.54,0.81,0.14,1.87299982397756,-0.0719839806568736
"685","3135","3135","28","5","a",NA,"2006","v","v","v","FABACEAE","Copaifera langsdorffii Desf.","G","T","15","29.3",NA,NA,NA,NA,NA,NA,"0.0674","29.3",14,"29",NA,NA,NA,NA,NA,NA,0.0661,"29",14,"28.7",NA,NA,NA,NA,NA,NA,0.0647,"28.7",28.7,29,29.3,0.0600000000000001,"COLA",0.4791,0.8497,"n","n",22.09,25.21375505,83.79,14.82,6.07,23.33,55.79,6.8,20.9,76.7,23.33,11.5,92.639,7.36,83.95,0.79,0.16,2.63301229991919,1.68708054758838
"686","3229","3229","28","10","a",NA,"2006","v","v","v","ANACARDIACEAE","Tapirira guianensis Aubl.","G","T","13","16.6",NA,NA,NA,NA,NA,NA,"0.0216","16.6",12,"16.3",NA,NA,NA,NA,NA,NA,0.0209,"16.3",12,"16",NA,NA,NA,NA,NA,NA,0.0201,"16",16,16.3,16.6,0.0600000000000001,"TAGU",0.9829,1.4251,"n","n",22.09,25.21375505,83.79,14.82,6.07,23.33,55.79,6.8,20.9,76.7,23.33,11.5,92.639,7.36,83.95,0.79,0.16,2.63301229991919,1.68708054758838
"687","4562","4562","34","4","a",NA,"2006","v","v","v","FABACEAE","Copaifera langsdorffii Desf.","G","T","15","10.6","5.6","5.9",NA,NA,NA,NA,"0.014","13.4",14,"10.5","5.5","5.5",NA,NA,NA,NA,0.0134,"13.1",13,"10.2","5.3","5.6",NA,NA,NA,NA,0.0128,"12.8",12.76,13.07,13.36,0.06,"COLA",1.3127,1.4396,"n","n",24.93,26.81370536,81.28,15.03,2,35.68,47.28,6.9,17,64.3,35.68,8.7,86.56,13.44,81.54,0.81,0.14,1.87299982397756,-0.0719839806568736
"688","1724","1724","10","3","a",NA,"2006","v","v","v","FABACEAE","Stryphnodendron obovatum Benth.","C","I","4.5","5.6",NA,NA,NA,NA,NA,NA,"0.0025","5.6",4.5,"5.2",NA,NA,NA,NA,NA,NA,0.0021,"5.2",3.5,"5",NA,NA,NA,NA,NA,NA,0.002,"5",5,5.2,5.6,0.06,"STOB",1.512,1.7793,"n","n",15.51,18.81182539,52.74,9.53,2.82,44.92,42.74,9.3,12.4,55.1,44.92,12.5,70.069,29.93,89.55,0.59,0.28,-0.761226558400938,-0.354406177627426
"689","1386","1386","6","4","a",NA,"2006","v","v","v","MYRTACEAE","Myrcia bella Cambess","C","I","5","8.4",NA,NA,NA,NA,NA,NA,"0.0055","8.4",5,"8",NA,NA,NA,NA,NA,NA,0.005,"8",5,"7.8",NA,NA,NA,NA,NA,NA,0.0048,"7.8",7.8,8,8.4,0.0600000000000001,"MYBE",0.8366,1.2936,"n","n",12.14,15.25078936,55.27,11.32,2.69,36.72,49.27,10.9,14,63.3,36.72,12.5,57.076,42.92,92.41,0.23,0.28,-1.44070875638512,0.660131924292916
"690","2728","2728","18","9","a",NA,"2006","v","v","v","FABACEAE","Plathymenia reticulata Benth.","C","I","8","10",NA,NA,NA,NA,NA,NA,"0.0079","10",8,"9.5",NA,NA,NA,NA,NA,NA,0.0071,"9.5",7,"9.4",NA,NA,NA,NA,NA,NA,0.0069,"9.4",9.4,9.5,10,0.06,"PLRE",1.1244,1.0233,"n","n",15.69,17.72782992,49.19,15.49,3.07,50.25,31.19,5.7,18.6,49.8,50.25,7.1,78.096,21.9,89.39,1,0.26,2.2926549309439,-1.77857583396474
"691","3987","3987","30","2","a",NA,"2006","v","v","v","BURSERACEAE","Protium heptaphyllum (Aubl.) Marchand","G","T","8","10",NA,NA,NA,NA,NA,NA,"0.0079","10",9,"9.5",NA,NA,NA,NA,NA,NA,0.0071,"9.5",9,"9.4",NA,NA,NA,NA,NA,NA,0.0069,"9.4",9.4,9.54,10,0.06,"PRHE",0.973,1.3468,"n","n",19.21,19.70161994,73.25,18.73,3.15,34.87,43.25,10.7,21.9,65.1,34.87,7.1,78.393,21.61,86.4,0.51,0.19,1.50457928122344,1.22270499936158
"692","2892","2892","27","1","a",NA,"2006","v","v","v","RUBIACEAE","Amaioua intermedia Mart.","G","T","8","6.7",NA,NA,NA,NA,NA,NA,"0.0035","6.7",8,"6.2",NA,NA,NA,NA,NA,NA,0.003,"6.2",8,"6.1",NA,NA,NA,NA,NA,NA,0.0029,"6.1",6.1,6.2,6.7,0.0600000000000001,"AMIN",1.7492,1.9314,"n","n",20.16,22.73991577,77.78,14.09,4.34,30.79,50.78,7.4,18.4,69.2,30.79,11.5,86.303,13.7,85.6,0.71,0.23,1.63213751450122,0.994860040486908
"693","2975","2975","27","6","a",NA,"2006","v","v","v","MALPIGHIACEAE","Byrsonima laxiflora Griseb. ","G","T","9","6.7",NA,NA,NA,NA,NA,NA,"0.0035","6.7",9,"6.5",NA,NA,NA,NA,NA,NA,0.0033,"6.5",7,"6.1",NA,NA,NA,NA,NA,NA,0.0029,"6.1",6.1,6.5,6.7,0.0600000000000001,"BYLA",1.8484,1.8149,"n","n",20.16,22.73991577,77.78,14.09,4.34,30.79,50.78,7.4,18.4,69.2,30.79,11.5,86.303,13.7,85.6,0.71,0.23,1.63213751450122,0.994860040486908
"694","2453","2453","15","2","a",NA,"2006","v","v","v","CARYOCARACEAE","Caryocar brasiliense Cambess.","C","I","6","8.1",NA,NA,NA,NA,NA,NA,"0.0052","8.1",6,"7",NA,NA,NA,NA,NA,NA,0.0038,"7",4,"7.5",NA,NA,NA,NA,NA,NA,0.0044,"7.5",7.49,7,8.1,0.0609999999999999,"CABR",0.8148,0.8008,"n","n",9.72,13.20867709,55.76,11.22,1.96,46.06,40.76,8.8,13.2,53.9,46.06,13,67.092,32.91,94.47,0.35,0.29,-1.11490581422796,-0.108480816384553
"695","2006","2006","19","3","a",NA,"2006","v","v","v","FABACEAE","Acosmium subelegans (Mohlenbr.) Yakovlev","C","I","4","8.1",NA,NA,NA,NA,NA,NA,"0.0052","8.1",3,"8",NA,NA,NA,NA,NA,NA,0.005,"8",2.5,"7.5",NA,NA,NA,NA,NA,NA,0.0044,"7.5",7.49,8,8.1,0.0609999999999999,"ACSU",0.507,0.7594,"n","n",6.16,8.64183024,78.14,10.68,2.97,27.21,59.14,11.3,13.7,72.8,27.21,14.2,37.619,62.38,97.5,0.48,0.31,-0.79378678587804,1.61733009262185
"696","2378","2378","16","3","a",NA,"2006","v","v","v","VOCHYSIACEAE","Vochysia tucanorum Mart.","G","I","7","12.8",NA,NA,NA,NA,NA,NA,"0.0129","12.8",4,"12",NA,NA,NA,NA,NA,NA,0.0113,"12",5,"12.2",NA,NA,NA,NA,NA,NA,0.0117,"12.2",12.19,12,12.8,0.0610000000000001,"VOTU",0.7562,1.1206,"n","n",9.72,12.26176179,50.77,17.31,4.02,43.9,34.77,4.1,21.3,56.1,43.9,5.4,66.613,33.39,94.47,0.68,0.28,2.85209742582359,-1.23939745655777
"697","4656","4656","34","9","a",NA,"2006","v","v","v","MYRSINACEAE","Rapanea ferruginea (Ruiz & Pav.) Mez","G","I","12","12.8",NA,NA,NA,NA,NA,NA,"0.0129","12.8",12,"12.5",NA,NA,NA,NA,NA,NA,0.0123,"12.5",12,"12.2",NA,NA,NA,NA,NA,NA,0.0117,"12.2",12.19,12.5,12.8,0.0610000000000001,"RAFE",1.5304,1.8478,"n","n",24.93,26.81370536,81.28,15.03,2,35.68,47.28,6.9,17,64.3,35.68,8.7,86.56,13.44,81.54,0.81,0.14,1.87299982397756,-0.0719839806568736
"698","2936","2936","27","3","a",NA,"2006","v","v","v","FABACEAE","Copaifera langsdorffii Desf.","G","T","12","9.5",NA,NA,NA,NA,NA,NA,"0.0071","9.5",12,"9.5",NA,NA,NA,NA,NA,NA,0.0071,"9.5",12,"8.9",NA,NA,NA,NA,NA,NA,0.0062,"8.9",8.89,9.5,9.5,0.0609999999999999,"COLA",0.7151,1.174,"n","n",20.16,22.73991577,77.78,14.09,4.34,30.79,50.78,7.4,18.4,69.2,30.79,11.5,86.303,13.7,85.6,0.71,0.23,1.63213751450122,0.994860040486908
"699","3462","3462","30","10","a",NA,"2006","v","v","v","FABACEAE","Copaifera langsdorffii Desf.","G","T","11","9.5",NA,NA,NA,NA,NA,NA,"0.0071","9.5",11,"9",NA,NA,NA,NA,NA,NA,0.0064,"9",9,"8.9",NA,NA,NA,NA,NA,NA,0.0062,"8.9",8.89,9,9.5,0.0609999999999999,"COLA",0.973,0.8291,"n","n",19.21,19.70161994,73.25,18.73,3.15,34.87,43.25,10.7,21.9,65.1,34.87,7.1,78.393,21.61,86.4,0.51,0.19,1.50457928122344,1.22270499936158
"700","3567","3567","32","7","a",NA,"2006","v","v","v","ANNONACEAE","Xylopia aromatica (Lam.) Mart.","C","I","14","9.5",NA,NA,NA,NA,NA,NA,"0.0071","9.5",13,"9.5",NA,NA,NA,NA,NA,NA,0.0071,"9.5",10,"8.9",NA,NA,NA,NA,NA,NA,0.0062,"8.9",8.89,9.5,9.5,0.0609999999999999,"XYAR",1.2346,0.6685,"n","n",20.03,22.91476111,71.8,16.11,1.73,42.37,39.8,8.8,17.8,57.6,42.37,9.9,84.556,15.44,85.7,0.24,0.19,0.152679642693612,0.762006164074839
"701","2697","2697","18","8","a",NA,"2006","v","v","v","ANNONACEAE","Xylopia aromatica (Lam.) Mart.","C","I","8","6.2",NA,NA,NA,NA,NA,NA,"0.003","6.2",8,"6",NA,NA,NA,NA,NA,NA,0.0028,"6",6,"5.6",NA,NA,NA,NA,NA,NA,0.0025,"5.6",5.59,6,6.2,0.061,"XYAR",1.2695,1.0233,"n","n",15.69,17.72782992,49.19,15.49,3.07,50.25,31.19,5.7,18.6,49.8,50.25,7.1,78.096,21.9,89.39,1,0.26,2.2926549309439,-1.77857583396474
"702","3883","3883","31","3","a",NA,"2006","v","v","v","MYRTACEAE","Myrcia multiflora (Lam.) DC.","G","T","8","6.2",NA,NA,NA,NA,NA,NA,"0.003","6.2",9,"5.8",NA,NA,NA,NA,NA,NA,0.0026,"5.8",8,"5.6",NA,NA,NA,NA,NA,NA,0.0025,"5.6",5.59,5.8,6.2,0.061,"MYMU",2.0982,2.1813,"n","n",23.92,25.66671773,63.12,16.49,2.1,49.3,32.12,6.9,18.6,50.7,49.3,9.5,88.474,11.53,82.4,0.34,0.16,0.707555491525923,-0.0221305812132513
"703","4397","4397","33","7","a",NA,"2006","v","v","v","RUBIACEAE","Faramea montevidensis (Cham. & Schltdl) DC. ","G","T","9","6.2",NA,NA,NA,NA,NA,NA,"0.003","6.2",9,"5.9",NA,NA,NA,NA,NA,NA,0.0027,"5.9",6,"5.6",NA,NA,NA,NA,NA,NA,0.0025,"5.6",5.59,5.9,6.2,0.061,"FAMO",2.258,2.3949,"n","n",23.09,27.0408268,72.69,14.78,1.73,43.8,39.69,6.8,16.5,56.2,43.8,9.5,78.166,21.83,83.1,0.74,0.14,1.32679191751686,-0.424757317640242
"704","4138","4138","31","10","a",NA,"2006","v","v","v","RUBIACEAE","Amaioua intermedia Mart.","G","T","11","9",NA,NA,NA,NA,NA,NA,"0.0064","9",11,"8.7",NA,NA,NA,NA,NA,NA,0.0059,"8.7",10,"8.4",NA,NA,NA,NA,NA,NA,0.0055,"8.4",8.38,8.7,9,0.0619999999999999,"AMIN",1.613,1.6943,"n","n",23.92,25.66671773,63.12,16.49,2.1,49.3,32.12,6.9,18.6,50.7,49.3,9.5,88.474,11.53,82.4,0.34,0.16,0.707555491525923,-0.0221305812132513
"705","4240","4240","32","4","a",NA,"2006","v","v","v","ANNONACEAE","Xylopia aromatica (Lam.) Mart.","C","I","13","9",NA,NA,NA,NA,NA,NA,"0.0064","9",12,"8.7",NA,NA,NA,NA,NA,NA,0.0059,"8.7",12,"8.4",NA,NA,NA,NA,NA,NA,0.0055,"8.4",8.38,8.7,9,0.0619999999999999,"XYAR",0.5352,1.0121,"n","n",20.03,22.91476111,71.8,16.11,1.73,42.37,39.8,8.8,17.8,57.6,42.37,9.9,84.556,15.44,85.7,0.24,0.19,0.152679642693612,0.762006164074839
"706","4371","4371","33","5","a",NA,"2006","v","v","v","MYRTACEAE","Myrcia multiflora (Lam.) DC.","G","T","11","9",NA,NA,NA,NA,NA,NA,"0.0064","9",10,"8.9",NA,NA,NA,NA,NA,NA,0.0062,"8.9",10,"8.4",NA,NA,NA,NA,NA,NA,0.0055,"8.4",8.38,8.9,9,0.0619999999999999,"MYMU",1.6681,2.1115,"n","n",23.09,27.0408268,72.69,14.78,1.73,43.8,39.69,6.8,16.5,56.2,43.8,9.5,78.166,21.83,83.1,0.74,0.14,1.32679191751686,-0.424757317640242
"707","718","718","1","8","a",NA,"2006","v","v","v","FABACEAE","Stryphnodendron obovatum Benth.","C","I","4.5","5.7",NA,NA,NA,NA,NA,NA,"0.0026","5.7",4,"5.5",NA,NA,NA,NA,NA,NA,0.0024,"5.5",3.5,"5.1",NA,NA,NA,NA,NA,NA,0.002,"5.1",5.08,5.5,5.7,0.062,"STOB",1.04,1.451,"n","n",11.93,16.5961779,45.84,12.85,2.03,40.28,44.84,13,14.9,59.7,40.28,10.6,68.317,31.68,92.59,0.25,0.3,-1.72124674976728,0.308303936459403
"708","2145","2145","12","1","a",NA,"2006","v","v","v","VOCHYSIACEAE","Qualea cordata (Mart.) Spreng.","C","I","4","5.7",NA,NA,NA,NA,NA,NA,"0.0026","5.7",4,"5.5",NA,NA,NA,NA,NA,NA,0.0024,"5.5",3.5,"5.1",NA,NA,NA,NA,NA,NA,0.002,"5.1",5.08,5.5,5.7,0.062,"QUCO",0.5222,0.643,"n","n",6.56,8.949674904,58.21,9.54,4.38,39.87,46.21,5.4,13.9,60.1,39.87,10.2,58.6,41.4,97.15,0.92,0.23,1.50996001284005,-0.976322415574288
"709","3030","3030","27","8","a",NA,"2006","v","v","v","MONIMIACEAE","Siparuna guianensis Aubl.","G","T","8","5.7",NA,NA,NA,NA,NA,NA,"0.0026","5.7",8,"5.5",NA,NA,NA,NA,NA,NA,0.0024,"5.5",8,"5.1",NA,NA,NA,NA,NA,NA,0.002,"5.1",5.08,5.5,5.7,0.062,"SIGU",1.7492,1.9314,"n","n",20.16,22.73991577,77.78,14.09,4.34,30.79,50.78,7.4,18.4,69.2,30.79,11.5,86.303,13.7,85.6,0.71,0.23,1.63213751450122,0.994860040486908
"710","3829","3829","31","1","a",NA,"2006","v","v","v","LAURACEAE","Nectandra cuspidata Nees & Mart.","G","T","10","5.7",NA,NA,NA,NA,NA,NA,"0.0026","5.7",9,"5.4",NA,NA,NA,NA,NA,NA,0.0023,"5.4",8,"5.1",NA,NA,NA,NA,NA,NA,0.002,"5.1",5.08,5.4,5.7,0.062,"NECU",2.0982,2.1813,"n","n",23.92,25.66671773,63.12,16.49,2.1,49.3,32.12,6.9,18.6,50.7,49.3,9.5,88.474,11.53,82.4,0.34,0.16,0.707555491525923,-0.0221305812132513
"711","4173","4173","32","1","a",NA,"2006","v","v","v","BURSERACEAE","Protium heptaphyllum (Aubl.) Marchand","G","T","10","5.7",NA,NA,NA,NA,NA,NA,"0.0026","5.7",10,"5.6",NA,NA,NA,NA,NA,NA,0.0025,"5.6",10,"5.1",NA,NA,NA,NA,NA,NA,0.002,"5.1",5.08,5.6,5.7,0.062,"PRHE",1.2346,1.7197,"n","n",20.03,22.91476111,71.8,16.11,1.73,42.37,39.8,8.8,17.8,57.6,42.37,9.9,84.556,15.44,85.7,0.24,0.19,0.152679642693612,0.762006164074839
"712","4483","4483","34","1","a",NA,"2006","v","v","v","MONIMIACEAE","Siparuna guianensis Aubl.","G","T","8","5.7",NA,NA,NA,NA,NA,NA,"0.0026","5.7",7,"5.5",NA,NA,NA,NA,NA,NA,0.0024,"5.5",6,"5.1",NA,NA,NA,NA,NA,NA,0.002,"5.1",5.08,5.5,5.7,0.062,"SIGU",2.4066,2.5398,"n","n",24.93,26.81370536,81.28,15.03,2,35.68,47.28,6.9,17,64.3,35.68,8.7,86.56,13.44,81.54,0.81,0.14,1.87299982397756,-0.0719839806568736
